worker,label_prob,quality,n_labels
0,0.06093201668578316,0.8243319912045538,2
1,0.08191665801902505,0.8501142191319253,2
2,0.033877934116843804,0.7551329427034275,1
3,0.07414390043597997,0.7505130564349896,2
4,0.07712379550465102,0.8206589683620323,5
5,0.06868021882596925,0.7506693416414226,4
6,0.008304808582308887,0.8084503617644565,1
7,0.0020603220951982307,0.6585510358050141,1
8,0.029693999166184662,0.8749644156501968,1
9,0.06445736746563874,0.8502127841802788,3
10,0.09253667439773304,0.7548046486443513,6
11,0.059256524737127426,0.6930789811327468,10
12,0.050669701234601766,0.601115270291051,5
13,0.0830870473356996,0.8352676431559233,9
14,0.003320620269563901,0.8822134257122389,1
15,0.09089862331480045,0.8044227351392611,4
16,0.06856559793938603,0.6743549842917383,2
17,0.07068689425131923,0.7494564672051732,5
18,0.017916546959646073,0.621377337702179,2
19,0.08171451140946306,0.8177826877164373,2
20,0.017035439564713952,0.8752793477734986,1
21,0.028809759973119676,0.6556992359110427,3
22,0.050849084155397496,0.7873915046037443,2
23,0.04115052530430501,0.7164591158616258,4
24,0.0039974858499059575,0.7651464608600648,2
25,0.02809761173716585,0.747887164846878,2
26,0.0305710090213446,0.8026678944341504,1
27,0.07496744232303754,0.8319441942164536,6
28,0.0008226320786592245,0.8329184961730736,1
29,0.07839374238667422,0.6285774965755669,5
30,0.017199913368450205,0.7993744044212622,1
31,0.04106577040085885,0.7677502557803111,4
32,0.09936962887878192,0.792220678334118,3
33,0.08820502345854962,0.8863554976512918,5
34,0.014142407652110401,0.7389023402861357,3
35,0.045494199791200174,0.8462428591170786,2
36,0.08215921799185268,0.644964864858006,5
37,0.05182132513507801,0.764793998158897,4
38,0.0006863778620441741,0.7311303680251906,1
39,0.08119562525093676,0.8862328157383289,5
