37	0	0
11	1	1
23	1	0
28	1	1
1	2	1
39	2	1
37	3	0
3	4	1
4	4	0
21	4	1
33	4	0
36	4	0
19	5	0
5	6	0
8	6	1
37	6	1
38	6	0
8	7	1
23	8	1
31	9	1
8	10	0
25	10	0
30	11	0
11	12	0
2	13	1
30	13	0
39	13	0
32	14	0
1	15	0
9	15	1
16	16	1
38	17	0
33	18	0
35	18	1
28	19	0
11	20	1
25	21	0
1	22	0
34	22	0
8	23	1
35	23	1
1	24	1
11	24	1
9	25	1
33	25	1
16	26	0
18	27	0
20	27	1
20	28	0
9	29	1
8	30	0
18	30	0
21	30	1
35	30	1
36	30	1
14	31	1
27	31	1
19	32	1
5	33	0
29	33	0
13	34	0
1	35	0
32	36	1
36	37	0
7	38	1
17	39	1
33	40	1
28	41	1
4	42	1
30	42	0
6	43	0
35	43	0
14	44	0
21	44	1
25	44	1
39	44	1
34	45	1
39	45	1
34	46	1
20	47	1
25	48	0
21	49	1
4	50	0
4	51	0
19	52	1
36	53	1
5	54	1
20	54	0
34	54	1
30	55	1
13	56	1
3	57	0
16	58	0
3	59	0
9	59	0
11	60	1
18	60	1
14	61	0
35	61	0
8	62	1
21	63	0
39	64	0
6	65	0
11	65	1
27	65	1
36	65	1
39	66	0
8	67	0
23	67	0
30	68	1
0	69	1
18	70	0
32	70	1
1	71	1
30	72	0
8	73	1
34	73	1
35	73	1
22	74	1
33	75	0
35	75	0
1	76	0
20	76	1
32	76	1
35	76	0
39	76	1
9	77	1
32	78	0
4	79	1
5	80	0
13	80	0
29	80	0
7	81	0
9	81	0
24	81	0
33	81	0
30	82	1
30	83	0
27	84	1
19	85	0
39	85	0
24	86	0
25	86	0
35	86	0
5	87	0
1	88	0
24	89	1
33	89	1
35	89	1
14	90	1
32	90	0
1	91	1
28	91	1
11	92	0
6	93	1
11	94	0
34	94	1
32	95	1
33	96	0
9	97	1
11	98	0
6	99	0
8	99	0
31	99	0
9	100	1
12	101	1
19	101	1
6	102	0
28	102	1
9	103	0
35	103	0
37	104	1
30	105	0
10	106	1
5	107	1
28	108	1
26	109	1
1	110	1
38	110	1
33	111	1
34	111	1
14	112	0
20	112	1
32	112	0
8	113	1
20	113	0
23	114	0
39	114	1
8	115	0
9	115	1
28	116	0
35	116	0
11	117	1
38	118	1
38	119	1
1	120	1
29	120	0
3	121	1
20	121	0
35	121	1
3	122	0
31	122	0
33	122	0
32	123	1
39	123	1
8	124	1
11	124	1
18	124	0
11	125	0
17	125	0
8	126	1
7	127	1
9	127	1
13	127	1
17	128	0
27	129	0
32	129	0
18	130	0
4	131	0
11	131	0
24	131	0
34	131	0
16	132	0
11	133	1
17	133	0
2	134	0
9	135	0
23	135	0
20	136	0
26	136	0
8	137	1
8	138	1
2	139	0
25	139	0
38	139	0
7	140	1
18	140	0
23	140	0
33	140	1
38	140	0
17	141	1
33	142	0
14	143	1
18	143	1
28	143	1
28	144	0
9	145	1
11	145	1
17	145	1
33	146	1
38	146	0
4	147	1
18	147	0
8	148	0
17	148	1
34	148	1
8	149	1
30	149	1
26	150	1
5	151	0
23	151	0
39	151	0
8	152	1
11	152	0
38	152	0
13	153	0
32	153	1
6	154	1
15	155	1
4	156	1
39	156	1
1	157	0
17	157	0
8	158	1
27	158	0
7	159	0
5	160	0
27	160	0
17	161	1
19	162	1
21	162	0
35	162	1
39	162	0
21	163	0
35	163	0
33	164	1
35	164	0
26	165	1
32	165	0
22	166	0
9	167	1
23	168	1
35	168	0
1	169	1
2	169	0
4	169	0
10	170	1
29	170	1
33	170	1
35	171	0
3	172	1
11	173	0
38	174	1
30	175	1
32	175	0
19	176	1
0	177	1
5	178	0
17	178	1
1	179	0
17	179	0
22	180	1
31	180	1
33	180	1
11	181	0
23	181	0
35	181	1
11	182	0
18	182	0
9	183	0
11	183	0
28	183	0
39	183	0
16	184	0
21	184	0
35	184	0
36	184	0
1	185	0
28	185	0
37	186	1
1	187	1
8	188	1
20	189	1
28	189	0
30	189	0
35	190	1
20	191	1
33	191	1
6	192	1
