worker,label_prob,quality,n_labels
0,0.038769987228559455,0.778732047008802,22
1,0.019668386404593674,0.7442561617059662,17
2,0.013010538327647281,0.7538932044294367,14
3,0.08128586833440407,0.6683783356728997,62
4,0.043604042924488266,0.656616814880547,27
5,0.04194696103101341,0.6498015688386034,27
6,0.08815114500284439,0.6954559653523389,57
7,0.029408425647731374,0.7770542504555475,31
8,0.05364772550512549,0.8818163469559797,35
9,0.05581584263416048,0.7276339624178431,41
10,0.028929374441585654,0.6426266027919498,19
11,0.061264156332270094,0.6996741515009273,35
12,0.04945929982964842,0.8679936472640105,33
13,0.022309565535246625,0.7526785881325112,17
14,0.00792801377862591,0.8515429368787397,7
15,0.03147368961402034,0.7239067000735067,21
16,0.02831239793206497,0.6924529580070724,25
17,0.08167161683980564,0.8911431802671478,54
18,0.024974975835018922,0.6960775875654586,19
19,0.027800057386046052,0.8737600570849579,17
20,0.02827488444462998,0.6737284923800444,21
21,0.06200985473351722,0.84857199136506,53
22,0.016765529782442567,0.79019179158404,15
23,0.04950356462612752,0.6323684073652137,25
24,0.07006877835908619,0.7455207808852268,55
25,0.08455174014210647,0.7854761225043407,58
26,0.017446296766243718,0.8503599572342164,14
27,0.08149448839068098,0.7877075322985578,50
28,0.04444730563722415,0.6381742475184893,30
29,0.00980302547782399,0.7171803582280272,10
30,0.06431427728838414,0.7212301245703003,53
31,0.09549101965336242,0.8015744095759404,72
32,0.07922013774198844,0.7504535816906512,72
33,0.08435029538089693,0.7817231737767733,52
34,0.07310026372160575,0.8329830319243687,44
35,0.042076258885209675,0.64901071036573,37
36,0.05131692805426446,0.6120485773900967,40
37,0.029130572292834944,0.7453778262364825,24
38,0.04073667840397486,0.6868923944049624,27
39,0.07682620691789471,0.8111497180643384,50
