worker,label_prob,quality,n_labels
0,0.03743742828776412,0.8315806854576799,120
1,0.09957513784414321,0.7147777071145888,297
2,0.06336016207741826,0.6611514809781261,216
3,0.030860490437118283,0.8650666731635764,102
4,0.04485621672114525,0.7978616803524272,156
5,0.027230446567847455,0.8448422536359491,94
6,0.09106971849501672,0.8307696918145714,322
7,0.03809721614969306,0.7343541982716565,133
8,0.09322814639886672,0.7922512806931644,279
9,0.08058635187242277,0.7850368923009179,256
10,0.09072546782323515,0.7607602079721303,288
11,0.016023184350135278,0.7003570937915464,53
12,0.046220784303349007,0.6997739835785537,142
13,0.07096242972607991,0.782066395719652,259
14,0.07039890099837245,0.8478424385801213,233
15,0.037742410721828656,0.8238726451325912,128
16,0.054531294303978184,0.8085735892467121,195
17,0.07968845418394228,0.7121455610696484,259
18,0.05241722915342141,0.6480770151775895,174
19,0.03573927950039226,0.8832312079366511,115
20,0.08935192775031976,0.7640755706251343,296
21,0.059582781506198085,0.8881912953937653,181
22,0.04905541541507533,0.7881472320274512,172
23,0.09990209522053639,0.862588280975574,350
24,0.04668149300979986,0.8174649936689423,154
25,0.005454612282455019,0.7945986816415784,15
26,0.010447531384561904,0.7023636153973596,47
27,0.07627590772067339,0.6403152592971462,234
28,0.06252364538923492,0.8588553515839292,207
29,0.07798500575484174,0.8214265007418421,229
30,0.06985760368449331,0.8864815584204119,222
31,0.08323840612784955,0.6278371915428927,271
32,0.02957544889267585,0.8791554723599702,103
33,0.006069698248591016,0.8215880578793042,24
34,0.08988712952394237,0.8258694723705159,311
35,0.036399167597877646,0.6709052238134107,135
36,0.07309338350852726,0.8918879347079285,227
37,0.019789871855595356,0.8016747693935036,69
38,0.02678395079311152,0.8915336811067573,93
39,0.05620338726581965,0.8982041437228842,216
