0	2
1	2
2	3
3	2
4	1
5	2
6	2
7	2
8	2
9	2
10	1
11	1
12	2
13	1
14	1
15	1
16	2
17	2
18	2
19	1
20	2
21	1
22	1
23	2
24	2
25	2
26	1
27	2
28	1
29	2
30	2
31	2
32	1
33	1
34	1
35	3
36	2
37	2
38	1
39	1
40	1
41	2
42	1
43	2
44	1
45	1
46	1
47	1
48	1
49	2
50	1
51	2
52	1
53	3
54	1
55	1
56	1
57	1
58	1
59	1
60	1
61	1
62	2
63	1
64	1
65	1
66	1
67	1
68	1
69	2
70	1
71	1
72	1
73	3
74	2
75	1
76	2
77	1
78	2
79	2
80	1
81	2
82	1
83	1
84	1
85	2
86	1
87	2
88	2
89	1
90	2
91	1
92	2
93	2
94	2
95	2
96	2
97	2
98	2
99	1
100	2
101	2
102	1
103	2
104	2
105	2
106	1
107	1
108	0
109	2
110	1
111	1
112	1
113	2
114	1
115	1
116	1
117	1
118	1
119	1
120	2
121	0
122	1
123	1
124	1
125	1
126	2
127	2
128	2
129	1
130	1
131	1
132	1
133	2
134	1
135	1
136	1
137	2
138	1
139	1
140	1
141	2
142	1
143	1
144	2
145	2
146	2
147	1
